Entity,Code,Year,Total number of international immigrants
Afghanistan,AFG,1990,57686
Afghanistan,AFG,1995,71522
Afghanistan,AFG,2000,75917
Afghanistan,AFG,2005,87314
Afghanistan,AFG,2010,102276
Afghanistan,AFG,2015,339432
Afghanistan,AFG,2020,144098
Africa,,1990,15689666
Africa,,1995,16357077
Africa,,2000,15051677
Africa,,2005,16040087
Africa,,2010,17806677
Africa,,2015,22860792
Africa,,2020,25389464
Albania,ALB,1990,66013
Albania,ALB,1995,71354
Albania,ALB,2000,76695
Albania,ALB,2005,64739
Albania,ALB,2010,52784
Albania,ALB,2015,52031
Albania,ALB,2020,48810
Algeria,DZA,1990,273954
Algeria,DZA,1995,262032
Algeria,DZA,2000,250110
Algeria,DZA,2005,197728
Algeria,DZA,2010,217268
Algeria,DZA,2015,239473
Algeria,DZA,2020,250378
American Samoa,ASM,1990,21283
American Samoa,ASM,1995,23098
American Samoa,ASM,2000,24912
American Samoa,ASM,2005,24233
American Samoa,ASM,2010,23555
American Samoa,ASM,2015,23513
American Samoa,ASM,2020,23608
Andorra,AND,1990,38891
Andorra,AND,1995,44206
Andorra,AND,2000,42147
Andorra,AND,2005,50298
Andorra,AND,2010,52053
Andorra,AND,2015,42264
Andorra,AND,2020,45574
Angola,AGO,1990,33517
Angola,AGO,1995,39813
Angola,AGO,2000,46108
Angola,AGO,2005,62331
Angola,AGO,2010,336367
Angola,AGO,2015,632178
Angola,AGO,2020,656434
Anguilla,AIA,1990,2570
Anguilla,AIA,1995,3317
Anguilla,AIA,2000,4063
Anguilla,AIA,2005,4684
Anguilla,AIA,2010,5103
Anguilla,AIA,2015,5471
Anguilla,AIA,2020,5715
Antigua and Barbuda,ATG,1990,12029
Antigua and Barbuda,ATG,1995,17550
Antigua and Barbuda,ATG,2000,23071
Antigua and Barbuda,ATG,2005,24741
Antigua and Barbuda,ATG,2010,26412
Antigua and Barbuda,ATG,2015,28082
Antigua and Barbuda,ATG,2020,29386
Argentina,ARG,1990,1649919
Argentina,ARG,1995,1595069
Argentina,ARG,2000,1540219
Argentina,ARG,2005,1674163
Argentina,ARG,2010,1805957
Argentina,ARG,2015,2086301
Argentina,ARG,2020,2281728
Armenia,ARM,1990,658789
Armenia,ARM,1995,693999
Armenia,ARM,2000,657900
Armenia,ARM,2005,469189
Armenia,ARM,2010,211147
Armenia,ARM,2015,191199
Armenia,ARM,2020,190349
Aruba,ABW,1990,14444
Aruba,ABW,1995,22274
Aruba,ABW,2000,30104
Aruba,ABW,2005,32540
Aruba,ABW,2010,34328
Aruba,ABW,2015,36114
Aruba,ABW,2020,53593
Asia,,1990,48209949
Asia,,1995,46418044
Asia,,2000,49066986
Asia,,2005,53249787
Asia,,2010,66123640
Asia,,2015,77191249
Asia,,2020,85618502
Australia,AUS,1990,3955213
Australia,AUS,1995,4153330
Australia,AUS,2000,4386250
Australia,AUS,2005,4878030
Australia,AUS,2010,5882980
Australia,AUS,2015,6729730
Australia,AUS,2020,7685860
Australia and New Zealand,,1990,4473260
Australia and New Zealand,,1995,4741947
Australia and New Zealand,,2000,5065063
Australia and New Zealand,,2005,5717982
Australia and New Zealand,,2010,6830423
Australia and New Zealand,,2015,7769466
Australia and New Zealand,,2020,9067584
Austria,AUT,1990,793239
Austria,AUT,1995,894893
Austria,AUT,2000,996547
Austria,AUT,2005,1127164
Austria,AUT,2010,1274901
Austria,AUT,2015,1483123
Austria,AUT,2020,1738183
Azerbaijan,AZE,1990,360600
Azerbaijan,AZE,1995,344070
Azerbaijan,AZE,2000,327540
Azerbaijan,AZE,2005,301834
Azerbaijan,AZE,2010,276901
Azerbaijan,AZE,2015,264359
Azerbaijan,AZE,2020,252228
Bahamas,BHS,1990,26855
Bahamas,BHS,1995,31654
Bahamas,BHS,2000,36454
Bahamas,BHS,2005,45531
Bahamas,BHS,2010,54745
Bahamas,BHS,2015,59241
Bahamas,BHS,2020,63583
Bahrain,BHR,1990,173212
Bahrain,BHR,1995,205979
Bahrain,BHR,2000,239361
Bahrain,BHR,2005,404018
Bahrain,BHR,2010,666406
Bahrain,BHR,2015,722487
Bahrain,BHR,2020,936094
Bangladesh,BGD,1990,881617
Bangladesh,BGD,1995,934735
Bangladesh,BGD,2000,987853
Bangladesh,BGD,2005,1062270
Bangladesh,BGD,2010,1345546
Bangladesh,BGD,2015,1422179
Bangladesh,BGD,2020,2115408
Barbados,BRB,1990,24024
Barbados,BRB,1995,26224
Barbados,BRB,2000,28424
Barbados,BRB,2005,30624
Barbados,BRB,2010,32825
Barbados,BRB,2015,34475
Barbados,BRB,2020,34869
Belarus,BLR,1990,1248977
Belarus,BLR,1995,1186282
Belarus,BLR,2000,1123586
Belarus,BLR,2005,1106982
Belarus,BLR,2010,1090378
Belarus,BLR,2015,1082905
Belarus,BLR,2020,1067090
Belgium,BEL,1990,1280583
Belgium,BEL,1995,1288003
Belgium,BEL,2000,1268368
Belgium,BEL,2005,1248733
Belgium,BEL,2010,1503806
Belgium,BEL,2015,1783488
Belgium,BEL,2020,2005479
Belize,BLZ,1990,30404
Belize,BLZ,1995,33446
Belize,BLZ,2000,36488
Belize,BLZ,2005,41438
Belize,BLZ,2010,46390
Belize,BLZ,2015,54615
Belize,BLZ,2020,62043
Benin,BEN,1990,76751
Benin,BEN,1995,105703
Benin,BEN,2000,134655
Benin,BEN,2005,248320
Benin,BEN,2010,309225
Benin,BEN,2015,366284
Benin,BEN,2020,394276
Bermuda,BMU,1990,15683
Bermuda,BMU,1995,16676
Bermuda,BMU,2000,17684
Bermuda,BMU,2005,18108
Bermuda,BMU,2010,18547
Bermuda,BMU,2015,19212
Bermuda,BMU,2020,19739
Bhutan,BTN,1990,23807
Bhutan,BTN,1995,27972
Bhutan,BTN,2000,32137
Bhutan,BTN,2005,40279
Bhutan,BTN,2010,48420
Bhutan,BTN,2015,51106
Bhutan,BTN,2020,53612
Bolivia,BOL,1990,73758
Bolivia,BOL,1995,83598
Bolivia,BOL,2000,92658
Bolivia,BOL,2005,107745
Bolivia,BOL,2010,122846
Bolivia,BOL,2015,143008
Bolivia,BOL,2020,164121
Bonaire Sint Eustatius and Saba,BES,1990,13010
Bonaire Sint Eustatius and Saba,BES,1995,15101
Bonaire Sint Eustatius and Saba,BES,2000,14387
Bonaire Sint Eustatius and Saba,BES,2005,14399
Bonaire Sint Eustatius and Saba,BES,2010,20941
Bonaire Sint Eustatius and Saba,BES,2015,24571
Bonaire Sint Eustatius and Saba,BES,2020,26221
Bosnia and Herzegovina,BIH,1990,56000
Bosnia and Herzegovina,BIH,1995,69476
Bosnia and Herzegovina,BIH,2000,82952
Bosnia and Herzegovina,BIH,2005,47287
Bosnia and Herzegovina,BIH,2010,38945
Bosnia and Herzegovina,BIH,2015,38597
Bosnia and Herzegovina,BIH,2020,36042
Botswana,BWA,1990,27510
Botswana,BWA,1995,40168
Botswana,BWA,2000,74934
Botswana,BWA,2005,84661
Botswana,BWA,2010,94863
Botswana,BWA,2015,103053
Botswana,BWA,2020,110268
Brazil,BRA,1990,798517
Brazil,BRA,1995,741557
Brazil,BRA,2000,684596
Brazil,BRA,2005,638582
Brazil,BRA,2010,592640
Brazil,BRA,2015,710304
Brazil,BRA,2020,1079708
British Virgin Islands,VGB,1990,8035
British Virgin Islands,VGB,1995,10046
British Virgin Islands,VGB,2000,12958
British Virgin Islands,VGB,2005,15016
British Virgin Islands,VGB,2010,17076
British Virgin Islands,VGB,2015,19535
British Virgin Islands,VGB,2020,22164
Brunei,BRN,1990,73200
Brunei,BRN,1995,84748
Brunei,BRN,2000,96296
Brunei,BRN,2005,98441
Brunei,BRN,2010,100587
Brunei,BRN,2015,102733
Brunei,BRN,2020,111959
Bulgaria,BGR,1990,21510
Bulgaria,BGR,1995,32435
Bulgaria,BGR,2000,43360
Bulgaria,BGR,2005,61074
Bulgaria,BGR,2010,76287
Bulgaria,BGR,2015,123803
Bulgaria,BGR,2020,184363
Burkina Faso,BFA,1990,349652
Burkina Faso,BFA,1995,464104
Burkina Faso,BFA,2000,520363
Burkina Faso,BFA,2005,597658
Burkina Faso,BFA,2010,674438
Burkina Faso,BFA,2015,704676
Burkina Faso,BFA,2020,723989
Burundi,BDI,1990,333110
Burundi,BDI,1995,254853
Burundi,BDI,2000,125628
Burundi,BDI,2005,192774
Burundi,BDI,2010,247321
Burundi,BDI,2015,298299
Burundi,BDI,2020,344767
Cambodia,KHM,1990,38375
Cambodia,KHM,1995,92230
Cambodia,KHM,2000,146085
Cambodia,KHM,2005,114096
Cambodia,KHM,2010,82028
Cambodia,KHM,2015,73962
Cambodia,KHM,2020,79341
Cameroon,CMR,1990,265967
Cameroon,CMR,1995,244791
Cameroon,CMR,2000,227242
Cameroon,CMR,2005,265503
Cameroon,CMR,2010,291474
Cameroon,CMR,2015,508346
Cameroon,CMR,2020,579209
Canada,CAN,1990,4333318
Canada,CAN,1995,4864778
Canada,CAN,2000,5511914
Canada,CAN,2005,6078985
Canada,CAN,2010,6761226
Canada,CAN,2015,7428657
Canada,CAN,2020,8049323
Cape Verde,CPV,1990,8931
Cape Verde,CPV,1995,9979
Cape Verde,CPV,2000,11027
Cape Verde,CPV,2005,12700
Cape Verde,CPV,2010,14373
Cape Verde,CPV,2015,14924
Cape Verde,CPV,2020,15788
Caribbean,,1990,1031083
Caribbean,,1995,1121563
Caribbean,,2000,1216872
Caribbean,,2005,1275731
Caribbean,,2010,1338893
Caribbean,,2015,1501081
Caribbean,,2020,1605148
Cayman Islands,CYM,1990,9315
Cayman Islands,CYM,1995,12666
Cayman Islands,CYM,2000,19176
Cayman Islands,CYM,2005,20679
Cayman Islands,CYM,2010,24062
Cayman Islands,CYM,2015,26193
Cayman Islands,CYM,2020,29242
Central African Republic,CAF,1990,67234
Central African Republic,CAF,1995,99712
Central African Republic,CAF,2000,123529
Central African Republic,CAF,2005,96409
Central African Republic,CAF,2010,94685
Central African Republic,CAF,2015,81568
Central African Republic,CAF,2020,88546
Central America,,1990,1829911
Central America,,1995,1298916
Central America,,2000,1107577
Central America,,2005,1378041
Central America,,2010,1751028
Central America,,2015,1860215
Central America,,2020,2302001
Central Asia,,1990,6630683
Central Asia,,1995,5904795
Central Asia,,2000,5189082
Central Asia,,2005,5235877
Central Asia,,2010,5264938
Central Asia,,2015,5392792
Central Asia,,2020,5564042
Central and Southern Asia,,1990,26168623
Central and Southern Asia,,1995,21247814
Central and Southern Asia,,2000,20139825
Central and Southern Asia,,2005,18854544
Central and Southern Asia,,2010,19676783
Central and Southern Asia,,2015,19266265
Central and Southern Asia,,2020,19427576
Chad,TCD,1990,74342
Chad,TCD,1995,89584
Chad,TCD,2000,104825
Chad,TCD,2005,352130
Chad,TCD,2010,417034
Chad,TCD,2015,466968
Chad,TCD,2020,547494
Channel Islands,OWID_CIS,1990,61660
Channel Islands,OWID_CIS,1995,60519
Channel Islands,OWID_CIS,2000,64301
Channel Islands,OWID_CIS,2005,70941
Channel Islands,OWID_CIS,2010,77581
Channel Islands,OWID_CIS,2015,82307
Channel Islands,OWID_CIS,2020,84087
Chile,CHL,1990,107501
Chile,CHL,1995,142417
Chile,CHL,2000,177332
Chile,CHL,2005,276360
Chile,CHL,2010,375388
Chile,CHL,2015,639724
Chile,CHL,2020,1645015
China,CHN,1990,376361
China,CHN,1995,442198
China,CHN,2000,508034
China,CHN,2005,678947
China,CHN,2010,849861
China,CHN,2015,978046
China,CHN,2020,1039675
Colombia,COL,1990,104277
Colombia,COL,1995,106943
Colombia,COL,2000,109609
Colombia,COL,2005,106523
Colombia,COL,2010,130309
Colombia,COL,2015,159407
Colombia,COL,2020,1905393
Comoros,COM,1990,14079
Comoros,COM,1995,13939
Comoros,COM,2000,13799
Comoros,COM,2005,13209
Comoros,COM,2010,12618
Comoros,COM,2015,12555
Comoros,COM,2020,12496
Congo,COG,1990,129391
Congo,COG,1995,191635
Congo,COG,2000,305880
Congo,COG,2005,318724
Congo,COG,2010,425173
Congo,COG,2015,390142
Congo,COG,2020,387606
Cook Islands,COK,1990,2587
Cook Islands,COK,1995,2686
Cook Islands,COK,2000,2785
Cook Islands,COK,2005,3277
Cook Islands,COK,2010,3769
Cook Islands,COK,2015,4168
Cook Islands,COK,2020,4579
Costa Rica,CRI,1990,417628
Costa Rica,CRI,1995,364287
Costa Rica,CRI,2000,310946
Costa Rica,CRI,2005,358398
Costa Rica,CRI,2010,405779
Costa Rica,CRI,2015,411697
Costa Rica,CRI,2020,520729
Cote d'Ivoire,CIV,1990,1816426
Cote d'Ivoire,CIV,1995,2076394
Cote d'Ivoire,CIV,2000,2163644
Cote d'Ivoire,CIV,2005,2265090
Cote d'Ivoire,CIV,2010,2366537
Cote d'Ivoire,CIV,2015,2470613
Cote d'Ivoire,CIV,2020,2564857
Croatia,HRV,1990,475438
Croatia,HRV,1995,674085
Croatia,HRV,2000,585298
Croatia,HRV,2005,579273
Croatia,HRV,2010,573248
Croatia,HRV,2015,561093
Croatia,HRV,2020,528056
Cuba,CUB,1990,34555
Cuba,CUB,1995,26187
Cuba,CUB,2000,18545
Cuba,CUB,2005,11693
Cuba,CUB,2010,7373
Cuba,CUB,2015,4649
Cuba,CUB,2020,3024
Curacao,CUW,2010,34630
Curacao,CUW,2015,37611
Curacao,CUW,2020,57210
Cyprus,CYP,1990,43805
Cyprus,CYP,1995,61941
Cyprus,CYP,2000,80076
Cyprus,CYP,2005,122849
Cyprus,CYP,2010,188472
Cyprus,CYP,2015,176693
Cyprus,CYP,2020,190366
Czechia,CZE,1990,110394
Czechia,CZE,1995,165592
Czechia,CZE,2000,220789
Czechia,CZE,2005,322540
Czechia,CZE,2010,398493
Czechia,CZE,2015,416454
Czechia,CZE,2020,540921
Democratic Republic of Congo,COD,1990,754194
Democratic Republic of Congo,COD,1995,1816963
Democratic Republic of Congo,COD,2000,744387
Democratic Republic of Congo,COD,2005,623009
Democratic Republic of Congo,COD,2010,589882
Democratic Republic of Congo,COD,2015,810018
Democratic Republic of Congo,COD,2020,952871
Denmark,DNK,1990,235189
Denmark,DNK,1995,303108
Denmark,DNK,2000,371026
Denmark,DNK,2005,440383
Denmark,DNK,2010,500772
Denmark,DNK,2015,595876
Denmark,DNK,2020,717574
Developed regions,,1990,82767210
Developed regions,,1995,92935093
Developed regions,,2000,103962010
Developed regions,,2005,116678357
Developed regions,,2010,130562258
Developed regions,,2015,140394479
Developed regions,,2020,157253443
Djibouti,DJI,1990,122221
Djibouti,DJI,1995,99774
Djibouti,DJI,2000,100507
Djibouti,DJI,2005,92110
Djibouti,DJI,2010,102307
Djibouti,DJI,2015,112351
Djibouti,DJI,2020,119738
Dominica,DMA,1990,2519
Dominica,DMA,1995,3121
Dominica,DMA,2000,3723
Dominica,DMA,2005,4744
Dominica,DMA,2010,8110
Dominica,DMA,2015,8093
Dominica,DMA,2020,8284
Dominican Republic,DOM,1990,291151
Dominican Republic,DOM,1995,323381
Dominican Republic,DOM,2000,355611
Dominican Republic,DOM,2005,375417
Dominican Republic,DOM,2010,395479
Dominican Republic,DOM,2015,549289
Dominican Republic,DOM,2020,603794
East Timor,TLS,1990,8954
East Timor,TLS,1995,9743
East Timor,TLS,2000,10602
East Timor,TLS,2005,11286
East Timor,TLS,2010,11540
East Timor,TLS,2015,8520
East Timor,TLS,2020,8399
Eastern Africa,,1990,5959183
Eastern Africa,,1995,4977644
Eastern Africa,,2000,4847119
Eastern Africa,,2005,4788649
Eastern Africa,,2010,4743657
Eastern Africa,,2015,6696922
Eastern Africa,,2020,7682801
Eastern Asia,,1990,3959266
Eastern Asia,,1995,4639749
Eastern Asia,,2000,5393004
Eastern Asia,,2005,6228684
Eastern Asia,,2010,7062527
Eastern Asia,,2015,7866663
Eastern Asia,,2020,8975729
Eastern Europe,,1990,21995312
Eastern Europe,,1995,21344124
Eastern Europe,,2000,20435785
Eastern Europe,,2005,19744557
Eastern Europe,,2010,19110686
Eastern Europe,,2015,19833989
Eastern Europe,,2020,20835402
Eastern and South-Eastern Asia,,1990,6835882
Eastern and South-Eastern Asia,,1995,8339806
Eastern and South-Eastern Asia,,2000,10506212
Eastern and South-Eastern Asia,,2005,12979157
Eastern and South-Eastern Asia,,2010,15760463
Eastern and South-Eastern Asia,,2015,18027810
Eastern and South-Eastern Asia,,2020,19591106
Ecuador,ECU,1990,78663
Ecuador,ECU,1995,115093
Ecuador,ECU,2000,151523
Ecuador,ECU,2005,189893
Ecuador,ECU,2010,375253
Ecuador,ECU,2015,387513
Ecuador,ECU,2020,784787
Egypt,EGY,1990,173833
Egypt,EGY,1995,166955
Egypt,EGY,2000,184774
Egypt,EGY,2005,285006
Egypt,EGY,2010,310017
Egypt,EGY,2015,353641
Egypt,EGY,2020,543937
El Salvador,SLV,1990,47360
El Salvador,SLV,1995,39537
El Salvador,SLV,2000,31713
El Salvador,SLV,2005,36029
El Salvador,SLV,2010,40342
El Salvador,SLV,2015,42059
El Salvador,SLV,2020,42767
Equatorial Guinea,GNQ,1990,2740
Equatorial Guinea,GNQ,1995,3629
Equatorial Guinea,GNQ,2000,4517
Equatorial Guinea,GNQ,2005,6588
Equatorial Guinea,GNQ,2010,8658
Equatorial Guinea,GNQ,2015,209611
Equatorial Guinea,GNQ,2020,230618
Eritrea,ERI,1990,11848
Eritrea,ERI,1995,12400
Eritrea,ERI,2000,12952
Eritrea,ERI,2005,15905
Eritrea,ERI,2010,15813
Eritrea,ERI,2015,15941
Eritrea,ERI,2020,13934
Estonia,EST,1990,381997
Estonia,EST,1995,315755
Estonia,EST,2000,249512
Estonia,EST,2005,233701
Estonia,EST,2010,217890
Estonia,EST,2015,194664
Estonia,EST,2020,199277
Eswatini,SWZ,1990,74991
Eswatini,SWZ,1995,35157
Eswatini,SWZ,2000,34084
Eswatini,SWZ,2005,33392
Eswatini,SWZ,2010,32637
Eswatini,SWZ,2015,32352
Eswatini,SWZ,2020,32858
Ethiopia,ETH,1990,1155390
Ethiopia,ETH,1995,806904
Ethiopia,ETH,2000,611384
Ethiopia,ETH,2005,514451
Ethiopia,ETH,2010,568748
Ethiopia,ETH,2015,1161642
Ethiopia,ETH,2020,1085517
Europe,,1990,49608225
Europe,,1995,53489827
Europe,,2000,56858793
Europe,,2005,63585731
Europe,,2010,70627160
Europe,,2015,74759083
Europe,,2020,86706068
Europe and Northern America,,1990,77218633
Europe and Northern America,,1995,86830775
Europe and Northern America,,2000,97210503
Europe and Northern America,,2005,108948820
Europe and Northern America,,2010,121597684
Europe and Northern America,,2015,130392824
Europe and Northern America,,2020,145414863
Falkland Islands,FLK,1990,855
Falkland Islands,FLK,1995,868
Falkland Islands,FLK,2000,1067
Falkland Islands,FLK,2005,1166
Falkland Islands,FLK,2010,1436
Falkland Islands,FLK,2015,1571
Falkland Islands,FLK,2020,1957
Faroe Islands,FRO,1990,4285
Faroe Islands,FRO,1995,2900
Faroe Islands,FRO,2000,3593
Faroe Islands,FRO,2005,4583
Faroe Islands,FRO,2010,5096
Faroe Islands,FRO,2015,5485
Faroe Islands,FRO,2020,6812
Fiji,FJI,1990,13283
Fiji,FJI,1995,13001
Fiji,FJI,2000,12719
Fiji,FJI,2005,12434
Fiji,FJI,2010,13357
Fiji,FJI,2015,13751
Fiji,FJI,2020,14087
Finland,FIN,1990,63255
Finland,FIN,1995,99729
Finland,FIN,2000,136203
Finland,FIN,2005,192169
Finland,FIN,2010,228481
Finland,FIN,2015,314856
Finland,FIN,2020,386052
France,FRA,1990,5897267
France,FRA,1995,6087993
France,FRA,2000,6278718
France,FRA,2005,6737600
France,FRA,2010,7309986
France,FRA,2015,7878338
France,FRA,2020,8524876
French Guiana,GUF,1990,63612
French Guiana,GUF,1995,70131
French Guiana,GUF,2000,76649
French Guiana,GUF,2005,86468
French Guiana,GUF,2010,96288
French Guiana,GUF,2015,106108
French Guiana,GUF,2020,119249
French Polynesia,PYF,1990,25830
French Polynesia,PYF,1995,28360
French Polynesia,PYF,2000,30329
French Polynesia,PYF,2005,32286
French Polynesia,PYF,2010,31640
French Polynesia,PYF,2015,30058
French Polynesia,PYF,2020,30081
Gabon,GAB,1990,128188
Gabon,GAB,1995,171427
Gabon,GAB,2000,214431
Gabon,GAB,2005,233824
Gabon,GAB,2010,270829
Gabon,GAB,2015,378686
Gabon,GAB,2020,416651
Gambia,GMB,1990,118123
Gambia,GMB,1995,150890
Gambia,GMB,2000,182514
Gambia,GMB,2005,181839
Gambia,GMB,2010,185837
Gambia,GMB,2015,192540
Gambia,GMB,2020,215659
Georgia,GEO,1990,304470
Georgia,GEO,1995,152235
Georgia,GEO,2000,76117
Georgia,GEO,2005,71296
Georgia,GEO,2010,73078
Georgia,GEO,2015,76685
Georgia,GEO,2020,79368
Germany,DEU,1990,5936181
Germany,DEU,1995,7464406
Germany,DEU,2000,8992631
Germany,DEU,2005,9402447
Germany,DEU,2010,9812263
Germany,DEU,2015,10220418
Germany,DEU,2020,15762457
Ghana,GHA,1990,164851
