Entity,Code,Year,Total number of international immigrants
Northern Mariana Islands,MNP,2005,37542
Northern Mariana Islands,MNP,2010,24168
Northern Mariana Islands,MNP,2015,21648
Northern Mariana Islands,MNP,2020,21843
Norway,NOR,1990,192587
Norway,NOR,1995,233302
Norway,NOR,2000,292440
Norway,NOR,2005,361144
Norway,NOR,2010,524601
Norway,NOR,2015,746375
Norway,NOR,2020,852238
Oceania,,1990,4731938
Oceania,,1995,5022527
Oceania,,2000,5361681
Oceania,,2005,6024021
Oceania,,2010,7128598
Oceania,,2015,8072276
Oceania,,2020,9380653
Oceania (excluding Australia and New Zealand),,1990,258678
Oceania (excluding Australia and New Zealand),,1995,280580
Oceania (excluding Australia and New Zealand),,2000,296618
Oceania (excluding Australia and New Zealand),,2005,306039
Oceania (excluding Australia and New Zealand),,2010,298175
Oceania (excluding Australia and New Zealand),,2015,302810
Oceania (excluding Australia and New Zealand),,2020,313069
Oman,OMN,1990,304000
Oman,OMN,1995,539643
Oman,OMN,2000,623608
Oman,OMN,2005,666164
Oman,OMN,2010,816234
Oman,OMN,2015,1856226
Oman,OMN,2020,2372836
Pakistan,PAK,1990,6208204
Pakistan,PAK,1995,3669308
Pakistan,PAK,2000,4181912
Pakistan,PAK,2005,3174558
Pakistan,PAK,2010,3943681
Pakistan,PAK,2015,3506520
Pakistan,PAK,2020,3276580
Palau,PLW,1990,2801
Palau,PLW,1995,4749
Palau,PLW,2000,6310
Palau,PLW,2005,6043
Palau,PLW,2010,5490
Palau,PLW,2015,4937
Palau,PLW,2020,5088
Palestine,PSE,1990,288332
Palestine,PSE,1995,281767
Palestine,PSE,2000,275202
Palestine,PSE,2005,274520
Palestine,PSE,2010,273840
Palestine,PSE,2015,273163
Palestine,PSE,2020,272784
Panama,PAN,1990,62744
Panama,PAN,1995,70848
Panama,PAN,2000,83410
Panama,PAN,2005,109461
Panama,PAN,2010,157788
Panama,PAN,2015,184710
Panama,PAN,2020,313165
Papua New Guinea,PNG,1990,33710
Papua New Guinea,PNG,1995,33526
Papua New Guinea,PNG,2000,26304
Papua New Guinea,PNG,2005,29971
Papua New Guinea,PNG,2010,30425
Papua New Guinea,PNG,2015,30940
Papua New Guinea,PNG,2020,31068
Paraguay,PRY,1990,195884
Paraguay,PRY,1995,186570
Paraguay,PRY,2000,176608
Paraguay,PRY,2005,168243
Paraguay,PRY,2010,160299
Paraguay,PRY,2015,156462
Paraguay,PRY,2020,169567
Peru,PER,1990,56688
Peru,PER,1995,56732
Peru,PER,2000,66300
Peru,PER,2005,77877
Peru,PER,2010,104706
Peru,PER,2015,154774
Peru,PER,2020,1224519
Philippines,PHL,1990,154071
Philippines,PHL,1995,207345
Philippines,PHL,2000,318095
Philippines,PHL,2005,257468
Philippines,PHL,2010,208599
Philippines,PHL,2015,211862
Philippines,PHL,2020,225525
Poland,POL,1990,1127771
Poland,POL,1995,964725
Poland,POL,2000,825251
Poland,POL,2005,722509
Poland,POL,2010,642417
Poland,POL,2015,611855
Poland,POL,2020,817254
Polynesia,OWID_PYA,1990,58509
Polynesia,OWID_PYA,1995,65065
Polynesia,OWID_PYA,2000,71151
Polynesia,OWID_PYA,2005,73768
Polynesia,OWID_PYA,2010,72741
Polynesia,OWID_PYA,2015,70001
Polynesia,OWID_PYA,2020,70136
Portugal,PRT,1990,435782
Portugal,PRT,1995,532822
Portugal,PRT,2000,651472
Portugal,PRT,2005,771184
Portugal,PRT,2010,762825
Portugal,PRT,2015,864814
Portugal,PRT,2020,1001963
Puerto Rico,PRI,1990,321909
Puerto Rico,PRI,1995,338067
Puerto Rico,PRI,2000,355038
Puerto Rico,PRI,2005,352144
Puerto Rico,PRI,2010,304969
Puerto Rico,PRI,2015,280494
Puerto Rico,PRI,2020,247132
Qatar,QAT,1990,309753
Qatar,QAT,1995,361673
Qatar,QAT,2000,359697
Qatar,QAT,2005,646026
Qatar,QAT,2010,1456413
Qatar,QAT,2015,1687640
Qatar,QAT,2020,2226192
Reunion,REU,1990,57210
Reunion,REU,1995,77159
Reunion,REU,2000,100678
Reunion,REU,2005,115076
Reunion,REU,2010,123029
Reunion,REU,2015,127209
Reunion,REU,2020,131769
Romania,ROU,1990,135825
Romania,ROU,1995,135037
Romania,ROU,2000,134254
Romania,ROU,2005,145162
Romania,ROU,2010,177211
Romania,ROU,2015,281048
Romania,ROU,2020,705310
Russia,RUS,1990,11524948
Russia,RUS,1995,11928927
Russia,RUS,2000,11900297
Russia,RUS,2005,11667588
Russia,RUS,2010,11194710
Russia,RUS,2015,11643276
Russia,RUS,2020,11636911
Rwanda,RWA,1990,160024
Rwanda,RWA,1995,215735
Rwanda,RWA,2000,347076
Rwanda,RWA,2005,423187
Rwanda,RWA,2010,426901
Rwanda,RWA,2015,514647
Rwanda,RWA,2020,513907
Saint Helena,SHN,1990,178
Saint Helena,SHN,1995,117
Saint Helena,SHN,2000,108
Saint Helena,SHN,2005,163
Saint Helena,SHN,2010,248
Saint Helena,SHN,2015,377
Saint Helena,SHN,2020,437
Saint Kitts and Nevis,KNA,1990,3210
Saint Kitts and Nevis,KNA,1995,4248
Saint Kitts and Nevis,KNA,2000,5871
Saint Kitts and Nevis,KNA,2005,6682
Saint Kitts and Nevis,KNA,2010,7245
Saint Kitts and Nevis,KNA,2015,7443
Saint Kitts and Nevis,KNA,2020,7725
Saint Lucia,LCA,1990,5305
Saint Lucia,LCA,1995,7155
Saint Lucia,LCA,2000,9871
Saint Lucia,LCA,2005,9839
Saint Lucia,LCA,2010,9050
Saint Lucia,LCA,2015,8673
Saint Lucia,LCA,2020,8338
Saint Pierre and Miquelon,SPM,1990,1099
Saint Pierre and Miquelon,SPM,1995,1320
Saint Pierre and Miquelon,SPM,2000,1458
Saint Pierre and Miquelon,SPM,2005,1147
Saint Pierre and Miquelon,SPM,2010,1017
Saint Pierre and Miquelon,SPM,2015,986
Saint Pierre and Miquelon,SPM,2020,998
Saint Vincent and the Grenadines,VCT,1990,3970
Saint Vincent and the Grenadines,VCT,1995,4135
Saint Vincent and the Grenadines,VCT,2000,4307
Saint Vincent and the Grenadines,VCT,2005,4436
Saint Vincent and the Grenadines,VCT,2010,4569
Saint Vincent and the Grenadines,VCT,2015,4637
Saint Vincent and the Grenadines,VCT,2020,4738
Samoa,WSM,1990,3357
Samoa,WSM,1995,4694
Samoa,WSM,2000,5998
Samoa,WSM,2005,5746
Samoa,WSM,2010,5122
Samoa,WSM,2015,4255
Samoa,WSM,2020,4021
San Marino,SMR,1990,3310
San Marino,SMR,1995,3659
San Marino,SMR,2000,4045
San Marino,SMR,2005,4218
San Marino,SMR,2010,4880
San Marino,SMR,2015,5195
San Marino,SMR,2020,5543
Sao Tome and Principe,STP,1990,5582
Sao Tome and Principe,STP,1995,4936
Sao Tome and Principe,STP,2000,4365
Sao Tome and Principe,STP,2005,3433
Sao Tome and Principe,STP,2010,2700
Sao Tome and Principe,STP,2015,2394
Sao Tome and Principe,STP,2020,2139
Saudi Arabia,SAU,1990,4998445
Saudi Arabia,SAU,1995,5122702
Saudi Arabia,SAU,2000,5263387
Saudi Arabia,SAU,2005,6501819
Saudi Arabia,SAU,2010,8429956
Saudi Arabia,SAU,2015,10771366
Saudi Arabia,SAU,2020,13454842
Senegal,SEN,1990,270410
Senegal,SEN,1995,287654
Senegal,SEN,2000,231901
Senegal,SEN,2005,238298
Senegal,SEN,2010,256092
Senegal,SEN,2015,266496
Senegal,SEN,2020,274929
Serbia,SRB,1990,99269
Serbia,SRB,1995,870980
Serbia,SRB,2000,977873
Serbia,SRB,2005,854848
Serbia,SRB,2010,826275
Serbia,SRB,2015,807441
Serbia,SRB,2020,823011
Seychelles,SYC,1990,3721
Seychelles,SYC,1995,5148
Seychelles,SYC,2000,6574
Seychelles,SYC,2005,8997
Seychelles,SYC,2010,11420
Seychelles,SYC,2015,12791
Seychelles,SYC,2020,13050
Sierra Leone,SLE,1990,222148
Sierra Leone,SLE,1995,98516
Sierra Leone,SLE,2000,97974
Sierra Leone,SLE,2005,146227
Sierra Leone,SLE,2010,79265
Sierra Leone,SLE,2015,58830
Sierra Leone,SLE,2020,53746
Singapore,SGP,1990,727262
Singapore,SGP,1995,991492
Singapore,SGP,2000,1351691
Singapore,SGP,2005,1710594
Singapore,SGP,2010,2164794
Singapore,SGP,2015,2483405
Singapore,SGP,2020,2523648
Sint Maarten (Dutch part),SXM,2005,13099
Sint Maarten (Dutch part),SXM,2010,26203
Sint Maarten (Dutch part),SXM,2015,27295
Sint Maarten (Dutch part),SXM,2020,28845
Slovakia,SVK,1990,41295
Slovakia,SVK,1995,69323
Slovakia,SVK,2000,116376
Slovakia,SVK,2005,130491
Slovakia,SVK,2010,146319
Slovakia,SVK,2015,177624
Slovakia,SVK,2020,197161
Slovenia,SVN,1990,178077
Slovenia,SVN,1995,174419
Slovenia,SVN,2000,214508
Slovenia,SVN,2005,217218
Slovenia,SVN,2010,253786
Slovenia,SVN,2015,237616
Slovenia,SVN,2020,277964
Small island developing States (SIDS),,1990,2312665
Small island developing States (SIDS),,1995,2758806
Small island developing States (SIDS),,2000,3287168
Small island developing States (SIDS),,2005,3918084
Small island developing States (SIDS),,2010,4710457
Small island developing States (SIDS),,2015,5273967
Small island developing States (SIDS),,2020,5678001
Solomon Islands,SLB,1990,4226
Solomon Islands,SLB,1995,4178
Solomon Islands,SLB,2000,3981
Solomon Islands,SLB,2005,3271
Solomon Islands,SLB,2010,2760
Solomon Islands,SLB,2015,2585
Solomon Islands,SLB,2020,2520
Somalia,SOM,1990,478294
Somalia,SOM,1995,19527
Somalia,SOM,2000,20097
Somalia,SOM,2005,20768
Somalia,SOM,2010,48106
Somalia,SOM,2015,40990
Somalia,SOM,2020,58590
South Africa,ZAF,1990,1163883
South Africa,ZAF,1995,1003807
South Africa,ZAF,2000,1016963
South Africa,ZAF,2005,1351031
South Africa,ZAF,2010,2114801
South Africa,ZAF,2015,3231728
South Africa,ZAF,2020,2860495
South America,,1990,4274977
South America,,1995,4241074
South America,,2000,4215289
South America,,2005,4530341
South America,,2010,5236667
South America,,2015,6080207
South America,,2020,10887474
South Korea,KOR,1990,43247
South Korea,KOR,1995,123886
South Korea,KOR,2000,244224
South Korea,KOR,2005,486065
South Korea,KOR,2010,919987
South Korea,KOR,2015,1370905
South Korea,KOR,2020,1728182
South Sudan,SSD,2010,230732
South Sudan,SSD,2015,844112
South Sudan,SSD,2020,882252
South-Eastern Asia,,1990,2876616
South-Eastern Asia,,1995,3700057
South-Eastern Asia,,2000,5113208
South-Eastern Asia,,2005,6750473
South-Eastern Asia,,2010,8697936
South-Eastern Asia,,2015,10161147
South-Eastern Asia,,2020,10615377
Southern Africa,,1990,1395265
Southern Africa,,1995,1201708
Southern Africa,,2000,1267695
Southern Africa,,2005,1582721
Southern Africa,,2010,2352541
Southern Africa,,2015,3477903
Southern Africa,,2020,3125072
Southern Asia,,1990,19537940
Southern Asia,,1995,15343019
Southern Asia,,2000,14950743
Southern Asia,,2005,13618667
Southern Asia,,2010,14411845
Southern Asia,,2015,13873473
Southern Asia,,2020,13863534
Southern Europe,,1990,4340433
Southern Europe,,1995,6230114
Southern Europe,,2000,7681658
Southern Europe,,2005,12004024
Southern Europe,,2010,16206273
Southern Europe,,2015,15815457
Southern Europe,,2020,17665688
Spain,ESP,1990,821605
Spain,ESP,1995,1020067
Spain,ESP,2000,1657285
Spain,ESP,2005,4107226
Spain,ESP,2010,6280062
Spain,ESP,2015,5891208
Spain,ESP,2020,6842202
Sri Lanka,LKA,1990,41561
Sri Lanka,LKA,1995,40841
Sri Lanka,LKA,2000,40132
Sri Lanka,LKA,2005,39526
Sri Lanka,LKA,2010,38959
Sri Lanka,LKA,2015,39706
Sri Lanka,LKA,2020,40254
Sub-Saharan Africa,,1990,13286341
Sub-Saharan Africa,,1995,14275437
Sub-Saharan Africa,,2000,13151229
Sub-Saharan Africa,,2005,14290369
Sub-Saharan Africa,,2010,15854637
Sub-Saharan Africa,,2015,20721874
Sub-Saharan Africa,,2020,22221538
Sudan,SDN,1990,1402896
Sudan,SDN,1995,1053396
Sudan,SDN,2000,805086
Sudan,SDN,2005,546419
Sudan,SDN,2010,618709
Sudan,SDN,2015,620523
Sudan,SDN,2020,1379147
Suriname,SUR,1990,18083
Suriname,SUR,1995,22320
Suriname,SUR,2000,27506
Suriname,SUR,2005,33662
Suriname,SUR,2010,39713
Suriname,SUR,2015,43127
Suriname,SUR,2020,47801
Sweden,SWE,1990,788767
Sweden,SWE,1995,936022
Sweden,SWE,2000,1003798
Sweden,SWE,2005,1125790
Sweden,SWE,2010,1337214
Sweden,SWE,2015,1602522
Sweden,SWE,2020,2003908
Switzerland,CHE,1990,1392282
Switzerland,CHE,1995,1478829
Switzerland,CHE,2000,1570756
Switzerland,CHE,2005,1805437
Switzerland,CHE,2010,2075182
Switzerland,CHE,2015,2258196
Switzerland,CHE,2020,2491249
Syria,SYR,1990,714140
Syria,SYR,1995,830610
Syria,SYR,2000,834916
Syria,SYR,2005,882398
Syria,SYR,2010,1783595
Syria,SYR,2015,835716
Syria,SYR,2020,868711
Tajikistan,TJK,1990,428900
Tajikistan,TJK,1995,348347
Tajikistan,TJK,2000,299499
Tajikistan,TJK,2005,280466
Tajikistan,TJK,2010,279808
Tajikistan,TJK,2015,275101
Tajikistan,TJK,2020,276031
Tanzania,TZA,1990,574025
Tanzania,TZA,1995,1106043
Tanzania,TZA,2000,949600
Tanzania,TZA,2005,771153
Tanzania,TZA,2010,309847
Tanzania,TZA,2015,384567
Tanzania,TZA,2020,426017
Thailand,THA,1990,528693
Thailand,THA,1995,809720
Thailand,THA,2000,1257821
Thailand,THA,2005,2195610
Thailand,THA,2010,3234381
Thailand,THA,2015,3470220
Thailand,THA,2020,3632496
Togo,TGO,1990,84844
Togo,TGO,1995,101583
Togo,TGO,2000,137968
Togo,TGO,2005,204219
Togo,TGO,2010,255564
Togo,TGO,2015,277384
Togo,TGO,2020,279936
Tokelau,TKL,1990,360
Tokelau,TKL,1995,506
Tokelau,TKL,2000,712
Tokelau,TKL,2005,1003
Tokelau,TKL,2010,1128
Tokelau,TKL,2015,1185
Tokelau,TKL,2020,1238
Tonga,TON,1990,2911
Tonga,TON,1995,3274
Tonga,TON,2000,3684
Tonga,TON,2005,4301
Tonga,TON,2010,4607
Tonga,TON,2015,3954
Tonga,TON,2020,3742
Trinidad and Tobago,TTO,1990,50666
Trinidad and Tobago,TTO,1995,45994
Trinidad and Tobago,TTO,2000,41753
Trinidad and Tobago,TTO,2005,44812
Trinidad and Tobago,TTO,2010,48226
Trinidad and Tobago,TTO,2015,50021
Trinidad and Tobago,TTO,2020,78849
Tunisia,TUN,1990,37984
Tunisia,TUN,1995,37867
Tunisia,TUN,2000,36719
Tunisia,TUN,2005,35040
Tunisia,TUN,2010,43172
Tunisia,TUN,2015,56532
Tunisia,TUN,2020,60145
Turkey,TUR,1990,1163686
Turkey,TUR,1995,1216173
Turkey,TUR,2000,1280963
Turkey,TUR,2005,1324108
Turkey,TUR,2010,1373749
Turkey,TUR,2015,4346197
Turkey,TUR,2020,6052652
Turkmenistan,TKM,1990,306500
Turkmenistan,TKM,1995,273565
Turkmenistan,TKM,2000,219067
Turkmenistan,TKM,2005,213053
Turkmenistan,TKM,2010,197979
Turkmenistan,TKM,2015,196376
Turkmenistan,TKM,2020,194920
Turks and Caicos Islands,TCA,1990,5062
Turks and Caicos Islands,TCA,1995,7039
Turks and Caicos Islands,TCA,2000,9015
Turks and Caicos Islands,TCA,2005,13115
Turks and Caicos Islands,TCA,2010,17216
Turks and Caicos Islands,TCA,2015,22723
Turks and Caicos Islands,TCA,2020,25748
Tuvalu,TUV,1990,318
Tuvalu,TUV,1995,263
Tuvalu,TUV,2000,218
Tuvalu,TUV,2005,209
Tuvalu,TUV,2010,220
Tuvalu,TUV,2015,230
Tuvalu,TUV,2020,239
Uganda,UGA,1990,544273
Uganda,UGA,1995,606987
Uganda,UGA,2000,584280
Uganda,UGA,2005,593308
Uganda,UGA,2010,492930
Uganda,UGA,2015,851175
Uganda,UGA,2020,1720313
Ukraine,UKR,1990,6892920
Ukraine,UKR,1995,6172338
Ukraine,UKR,2000,5527087
Ukraine,UKR,2005,5050302
Ukraine,UKR,2010,4818767
Ukraine,UKR,2015,4915142
Ukraine,UKR,2020,4997387
United Arab Emirates,ARE,1990,1306574
United Arab Emirates,ARE,1995,1824118
United Arab Emirates,ARE,2000,2447010
United Arab Emirates,ARE,2005,3281115
United Arab Emirates,ARE,2010,7316697
United Arab Emirates,ARE,2015,7995126
United Arab Emirates,ARE,2020,8716332
United Kingdom,GBR,1990,3650286
United Kingdom,GBR,1995,4155293
United Kingdom,GBR,2000,4730165
United Kingdom,GBR,2005,5926156
United Kingdom,GBR,2010,7119664
United Kingdom,GBR,2015,8406996
United Kingdom,GBR,2020,9359587
United States,USA,1990,23251026
United States,USA,1995,28451053
United States,USA,2000,34814053
United States,USA,2005,39258293
United States,USA,2010,44183643
United States,USA,2015,48178877
United States,USA,2020,50632836
United States Virgin Islands,VIR,1990,51970
United States Virgin Islands,VIR,1995,54241
United States Virgin Islands,VIR,2000,56611
United States Virgin Islands,VIR,2005,56647
United States Virgin Islands,VIR,2010,56684
United States Virgin Islands,VIR,2015,56721
United States Virgin Islands,VIR,2020,56753
Upper-middle-income countries,,1990,35289343
Upper-middle-income countries,,1995,35213683
Upper-middle-income countries,,2000,35822210
Upper-middle-income countries,,2005,38209661
Upper-middle-income countries,,2010,42080101
Upper-middle-income countries,,2015,50991477
Upper-middle-income countries,,2020,57383443
Uruguay,URY,1990,98116
Uruguay,URY,1995,93428
Uruguay,URY,2000,88874
Uruguay,URY,2005,82317
Uruguay,URY,2010,76303
Uruguay,URY,2015,78799
Uruguay,URY,2020,108267
Uzbekistan,UZB,1990,1653000
Uzbekistan,UZB,1995,1512577
Uzbekistan,UZB,2000,1406498
Uzbekistan,UZB,2005,1329932
Uzbekistan,UZB,2010,1220149
Uzbekistan,UZB,2015,1170873
Uzbekistan,UZB,2020,1162007
Vanuatu,VUT,1990,2308
Vanuatu,VUT,1995,2461
Vanuatu,VUT,2000,2626
Vanuatu,VUT,2005,2800
Vanuatu,VUT,2010,2991
Vanuatu,VUT,2015,3186
Vanuatu,VUT,2020,3257
Vatican,VAT,1990,762
Vatican,VAT,1995,778
Vatican,VAT,2000,790
Vatican,VAT,2005,798
Vatican,VAT,2010,783
Vatican,VAT,2015,790
Vatican,VAT,2020,809
Venezuela,VEN,1990,1025009
Venezuela,VEN,1995,1019996
Venezuela,VEN,2000,1013738
Venezuela,VEN,2005,1076474
Venezuela,VEN,2010,1347347
Venezuela,VEN,2015,1404448
Venezuela,VEN,2020,1324193
Vietnam,VNM,1990,28118
Vietnam,VNM,1995,51262
Vietnam,VNM,2000,56754
Vietnam,VNM,2005,51768
Vietnam,VNM,2010,61756
Vietnam,VNM,2015,72793
Vietnam,VNM,2020,76767
Wallis and Futuna,WLF,1990,1402
Wallis and Futuna,WLF,1995,1704
Wallis and Futuna,WLF,2000,2015
Wallis and Futuna,WLF,2005,2191
Wallis and Futuna,WLF,2010,2111
Wallis and Futuna,WLF,2015,2050
Wallis and Futuna,WLF,2020,2040
Western Africa,,1990,4470738
Western Africa,,1995,5433595
Western Africa,,2000,5261131
Western Africa,,2005,5957048
Western Africa,,2010,6321637
Western Africa,,2015,7067138
Western Africa,,2020,7552097
Western Asia,,1990,15205444
Western Asia,,1995,16830424
Western Asia,,2000,18420949
Western Asia,,2005,21416086
Western Asia,,2010,30686394
Western Asia,,2015,39897174
Western Asia,,2020,46599820
Western Europe,,1990,16626875
Western Europe,,1995,18720765
Western Europe,,2000,20840377
Western Europe,,2005,22248336
Western Europe,,2010,24015264
Western Europe,,2015,25918551
Western Europe,,2020,33231117
Western Sahara,ESH,1990,2688
Western Sahara,ESH,1995,2989
Western Sahara,ESH,2000,3289
Western Sahara,ESH,2005,3891
Western Sahara,ESH,2010,4493
Western Sahara,ESH,2015,5179
Western Sahara,ESH,2020,5424
World,OWID_WRL,1990,152986157
World,OWID_WRL,1995,161289976
World,OWID_WRL,2000,173230585
World,OWID_WRL,2005,191446828
World,OWID_WRL,2010,220983187
World,OWID_WRL,2015,247958644
World,OWID_WRL,2020,280598105
Yemen,YEM,1990,118863
Yemen,YEM,1995,136515
Yemen,YEM,2000,144940
Yemen,YEM,2005,171871
Yemen,YEM,2010,288394
Yemen,YEM,2015,379882
Yemen,YEM,2020,387113
Zambia,ZMB,1990,279463
Zambia,ZMB,1995,244338
Zambia,ZMB,2000,343703
Zambia,ZMB,2005,252895
Zambia,ZMB,2010,149962
Zambia,ZMB,2015,132107
Zambia,ZMB,2020,187955
Zimbabwe,ZWE,1990,634621
Zimbabwe,ZWE,1995,431226
Zimbabwe,ZWE,2000,410109
Zimbabwe,ZWE,2005,402226
Zimbabwe,ZWE,2010,398307
Zimbabwe,ZWE,2015,400482
Zimbabwe,ZWE,2020,416141